"lon","lat","chl_gs_mean","Appendicularians","Thaliaceans","Copepods","Tunicates"
-179.5,-59.5,0.390548190329377,NA,NA,NA,NA
-179.5,-58.5,0.327493376071899,NA,NA,NA,NA
-179.5,-57.5,0.284212916941513,NA,NA,NA,NA
-179.5,-56.5,0.280898957521002,NA,NA,NA,NA
-179.5,-55.5,0.263311680495125,NA,NA,NA,NA
-179.5,-54.5,0.282498403278554,NA,NA,NA,NA
-179.5,-53.5,0.320659567483043,NA,NA,NA,NA
-179.5,-52.5,0.323387950420571,NA,NA,NA,NA
-179.5,-51.5,0.312734193459612,NA,NA,NA,NA
-179.5,-50.5,0.328999115926991,NA,NA,NA,NA
-179.5,-49.5,0.302408551677672,NA,NA,NA,NA
-179.5,-48.5,0.331938885051944,NA,NA,NA,NA
-179.5,-47.5,0.347471270169812,NA,NA,NA,NA
-179.5,-46.5,0.424981191960722,NA,NA,NA,NA
-179.5,-45.5,0.401017936503564,NA,NA,NA,NA
-179.5,-44.5,0.556545325593658,NA,NA,NA,NA
-179.5,-43.5,0.797518637734637,NA,NA,1.1742707491,NA
-179.5,-42.5,0.665670611021292,NA,NA,NA,NA
-179.5,-41.5,0.596662769990319,NA,NA,NA,NA
-179.5,-40.5,0.477899789265276,NA,NA,NA,NA
-179.5,-39.5,0.379533058049696,NA,NA,NA,NA
-179.5,-38.5,0.332066725897553,NA,NA,NA,NA
-179.5,-37.5,0.283414558665971,NA,NA,2.4394955635,NA
-179.5,-36.5,0.259862353801569,NA,NA,NA,NA
-179.5,-35.5,0.237835858740817,NA,NA,NA,NA
-179.5,-34.5,0.190320187207042,NA,NA,NA,NA
-179.5,-33.5,0.172697238503349,NA,NA,NA,NA
-179.5,-32.5,0.154254864646116,NA,NA,NA,NA
-179.5,-31.5,0.132268694394837,NA,NA,NA,NA
-179.5,-30.5,0.11157965256045,NA,NA,NA,NA
-179.5,-29.5,0.104371046195233,NA,NA,NA,NA
-179.5,-28.5,0.0886088011513961,NA,NA,NA,NA
-179.5,-27.5,0.0801025697458098,NA,NA,NA,NA
-179.5,-26.5,0.0743137784193266,NA,NA,NA,NA
-179.5,-25.5,0.0697976611679686,NA,NA,NA,NA
-179.5,-24.5,0.0687046869908848,NA,NA,NA,NA
-179.5,-23.5,0.0696929567460305,NA,NA,NA,NA
-179.5,-22.5,0.0736658337553466,NA,NA,NA,NA
-179.5,-21.5,0.0821330370790395,NA,NA,NA,NA
-179.5,-20.5,0.0882281966041022,NA,NA,NA,NA
-179.5,-19.5,0.0922024808245892,NA,NA,NA,NA
-179.5,-18.5,0.0972729859918595,NA,NA,NA,NA
-179.5,-17.5,0.0879080401948238,NA,NA,NA,NA
-179.5,-16.5,0.144340111247526,NA,NA,NA,NA
-179.5,-15.5,0.0563661210551839,NA,NA,NA,NA
-179.5,-14.5,0.0463073736639814,NA,NA,NA,NA
-179.5,-13.5,0.0440856435712307,NA,NA,NA,NA
-179.5,-12.5,0.048538294943505,NA,NA,NA,NA
-179.5,-11.5,0.0463116937943302,NA,NA,NA,NA
-179.5,-10.5,0.0480717868416667,NA,NA,NA,NA
-179.5,-9.5,0.0506461093630827,NA,NA,1.269061923,NA
-179.5,-8.5,0.0577682249324224,NA,NA,NA,NA
-179.5,-7.5,0.0681201618670264,NA,NA,1.697055459,NA
-179.5,-6.5,0.0796653849996433,NA,NA,NA,NA
-179.5,-5.5,0.0927346450210978,NA,NA,0.8734137416,NA
-179.5,-4.5,0.106924736605686,NA,NA,1.9447898865,NA
-179.5,-3.5,0.120490832539665,NA,NA,NA,NA
-179.5,-2.5,0.138720937829599,NA,NA,NA,NA
-179.5,-1.5,0.155468384405524,NA,NA,NA,NA
-179.5,-0.5,0.176101440430482,NA,NA,10.4652194977,NA
-179.5,0.5,0.18000210299191,NA,NA,NA,NA
-179.5,1.5,0.161920670958257,0.0473755191,0.242079079309424,3.9826536179,0.289454598409424
-179.5,2.5,0.140588550245237,NA,NA,NA,NA
-179.5,3.5,0.124889834473886,NA,NA,NA,NA
-179.5,4.5,0.111636418602095,NA,NA,NA,NA
-179.5,5.5,0.0963578886968719,NA,NA,1.2441385984,NA
-179.5,6.5,0.0827682218419778,NA,NA,NA,NA
-179.5,7.5,0.0704427973955332,NA,NA,NA,NA
-179.5,8.5,0.0587769062083356,NA,NA,0.5040996075,NA
-179.5,9.5,0.0526217359654064,NA,NA,NA,NA
-179.5,10.5,0.0447786886730865,NA,NA,NA,NA
-179.5,11.5,0.0393237679539541,NA,NA,0.8499129415,NA
-179.5,12.5,0.0373807787100722,NA,NA,NA,NA
-179.5,13.5,0.0360394521468487,NA,NA,NA,NA
-179.5,14.5,0.0365323198630382,NA,NA,1.0598407984,NA
-179.5,15.5,0.0375833056216303,NA,NA,NA,NA
-179.5,16.5,0.0391467062793927,NA,NA,NA,NA
-179.5,17.5,0.0403910258688085,NA,NA,NA,NA
-179.5,18.5,0.0412054254841144,NA,NA,NA,NA
-179.5,19.5,0.0414616425038381,NA,NA,0.4543915987,NA
-179.5,20.5,0.0433902992227196,NA,NA,NA,NA
-179.5,21.5,0.0441189280942619,NA,NA,NA,NA
-179.5,22.5,0.0454358547123649,NA,NA,NA,NA
-179.5,23.5,0.0462632977722689,NA,NA,NA,NA
-179.5,24.5,0.0481916397558406,NA,NA,NA,NA
-179.5,25.5,0.0497443723880443,NA,NA,NA,NA
-179.5,26.5,0.052690850899331,NA,NA,0.1794733703,NA
-179.5,27.5,0.0588704640372322,NA,NA,0.5337034464,NA
-179.5,28.5,0.0713859283202433,NA,NA,0.4179266095,NA
-179.5,29.5,0.0892452820415949,NA,NA,NA,NA
-179.5,30.5,0.101258649968638,NA,2.90658629366162,0.6945443749,2.90658629366162
-179.5,31.5,0.119550601177016,NA,NA,NA,NA
-179.5,32.5,0.140883932580077,NA,NA,NA,NA
-179.5,33.5,0.164235158346742,NA,NA,0.83032763,NA
-179.5,34.5,0.176239808948225,NA,NA,NA,NA
-179.5,35.5,0.191270338525278,NA,0.217993972024622,NA,0.217993972024622
-179.5,36.5,0.223422547855107,NA,NA,NA,NA
-179.5,37.5,0.243998599931198,NA,0.546999668734879,6.1634274721,0.546999668734879
-179.5,38.5,0.256691913342919,NA,0.121107762360862,9.84200028011429,0.121107762360862
-179.5,39.5,0.269336002075053,NA,NA,15.35361852646,NA
-179.5,40.5,0.274340809667572,NA,3.85602246274614,9.84423351287,3.85602246274614
-179.5,41.5,0.286451918824938,NA,99.3083650459348,11.0604281255,99.3083650459348
-179.5,42.5,0.298747270623467,NA,NA,17.0130821636857,NA
-179.5,43.5,0.29571420055134,NA,NA,17.9172919243667,NA
-179.5,44.5,0.309113086933395,NA,1.69550867117765,21.88192272185,1.69550867117765
-179.5,45.5,0.315918295425847,NA,NA,22.370639801,NA
-179.5,46.5,0.336860535346746,NA,NA,20.6977131707357,NA
-179.5,47.5,0.351163285466289,NA,6.17649587403095,17.1915667424154,6.17649587403095
-179.5,48.5,0.417632031395532,NA,NA,14.03557561505,NA
-179.5,49.5,0.482499556536132,NA,9.74620410638944,11.1445030732636,9.74620410638944
-179.5,50.5,0.693764229072473,NA,NA,12.4255369634947,NA
-179.5,51.5,1.16625252531668,NA,85.3436550334929,22.1091708285607,85.3436550334929
-179.5,52.5,0.912047129542923,NA,0.0015,16.2507924522607,0.0015
-179.5,53.5,0.571682836671116,NA,0.194768243006076,4.05560615482353,0.194768243006076
-179.5,54.5,0.63450413821855,NA,1.19423332212571,35.5966639519,1.19423332212571
-179.5,55.5,0.588009158016362,NA,35.2298308200586,26.0088684559,35.2298308200586
-179.5,56.5,0.740660763411737,NA,41.3288013136864,35.0250679651833,41.3288013136864
-179.5,57.5,1.00334677961008,NA,NA,13.6457233429,NA
-179.5,58.5,1.24506782493796,NA,135.996205459137,5.48560830528571,135.996205459137
-179.5,59.5,1.34080651045745,NA,NA,34.6713759899,NA
-179.5,60.5,1.7269095903231,NA,158.695142853737,1.53810515005833,158.695142853737
-179.5,61.5,2.38195688419544,NA,NA,4.49728366307143,NA
-179.5,62.5,1.9823806577043,NA,NA,6.46545223265484,NA
-179.5,63.5,3.9123451622407,NA,NA,7.4786292712,NA
-178.5,-61.5,0.373508538727326,NA,NA,NA,NA
-178.5,-60.5,0.359781235913193,NA,NA,NA,NA
-178.5,-59.5,0.377482329316854,NA,NA,NA,NA
-178.5,-58.5,0.345498903972725,NA,NA,NA,NA
-178.5,-57.5,0.2590143645404,NA,NA,NA,NA
-178.5,-56.5,0.246574675464525,NA,NA,NA,NA
-178.5,-55.5,0.265771120489941,NA,NA,NA,NA
-178.5,-54.5,0.335196568762288,NA,NA,NA,NA
-178.5,-53.5,0.38017061177923,NA,NA,NA,NA
-178.5,-52.5,0.383853628536499,NA,NA,NA,NA
-178.5,-51.5,0.325418630370876,NA,NA,NA,NA
-178.5,-50.5,0.32685117069721,NA,NA,NA,NA
-178.5,-49.5,0.330042795180607,NA,NA,NA,NA
-178.5,-48.5,0.34671158883946,NA,NA,NA,NA
-178.5,-47.5,0.364382892229474,NA,NA,NA,NA
-178.5,-46.5,0.472964963639606,NA,NA,NA,NA
-178.5,-45.5,0.41297641329759,NA,NA,NA,NA
-178.5,-44.5,0.578639101539721,NA,NA,NA,NA
-178.5,-43.5,0.714406714140788,NA,13.001973075,NA,13.001973075
-178.5,-42.5,0.681102186333689,NA,NA,NA,NA
-178.5,-41.5,0.528763826039806,NA,NA,NA,NA
-178.5,-40.5,0.407665195392296,NA,NA,NA,NA
-178.5,-39.5,0.333292945834886,NA,NA,NA,NA
-178.5,-38.5,0.298779458776867,NA,NA,NA,NA
-178.5,-37.5,0.279972848122724,NA,NA,NA,NA
-178.5,-36.5,0.262872540447815,NA,NA,NA,NA
-178.5,-35.5,0.22121953820811,NA,NA,0.9990794063,NA
-178.5,-34.5,0.172956109120234,NA,NA,NA,NA
-178.5,-33.5,0.149102778737295,NA,NA,NA,NA
-178.5,-32.5,0.137003197358057,NA,NA,NA,NA
-178.5,-31.5,0.134544358686985,NA,NA,NA,NA
-178.5,-30.5,0.125275116302104,NA,NA,NA,NA
-178.5,-29.5,0.11259137232897,NA,NA,NA,NA
-178.5,-28.5,0.0935927465401909,NA,NA,NA,NA
-178.5,-27.5,0.0804053556915718,NA,NA,NA,NA
-178.5,-26.5,0.0725421517634415,NA,NA,NA,NA
-178.5,-25.5,0.0701325498773321,NA,NA,NA,NA
-178.5,-24.5,0.0688189838871124,NA,NA,NA,NA
-178.5,-23.5,0.069717872941583,NA,NA,NA,NA
-178.5,-22.5,0.0742370365323444,NA,NA,NA,NA
-178.5,-21.5,0.0787468738712764,NA,NA,NA,NA
-178.5,-20.5,0.0979131253579751,NA,NA,NA,NA
-178.5,-19.5,0.090590961678582,NA,NA,NA,NA
-178.5,-18.5,0.180081943783667,NA,NA,NA,NA
-178.5,-17.5,0.0924629833434258,NA,NA,NA,NA
-178.5,-16.5,0.05853600293168,NA,NA,NA,NA
-178.5,-15.5,0.049661837244827,NA,NA,NA,NA
-178.5,-14.5,0.0457319928602744,NA,NA,NA,NA
-178.5,-13.5,0.0441899735402636,NA,NA,NA,NA
-178.5,-12.5,0.0439797763011723,NA,NA,NA,NA
-178.5,-11.5,0.0450884351989213,NA,NA,NA,NA
-178.5,-10.5,0.0462572450345931,NA,NA,NA,NA
-178.5,-9.5,0.0513873163276592,NA,NA,NA,NA
-178.5,-8.5,0.0601046796473175,NA,NA,NA,NA
-178.5,-7.5,0.0702019534999952,NA,NA,NA,NA
-178.5,-6.5,0.0818675740491958,NA,NA,NA,NA
-178.5,-5.5,0.0965309576048655,NA,NA,NA,NA
-178.5,-4.5,0.106462227636906,NA,NA,NA,NA
-178.5,-3.5,0.122192516677735,NA,NA,NA,NA
-178.5,-2.5,0.139689174777078,NA,NA,NA,NA
-178.5,-1.5,0.157549204417895,NA,NA,NA,NA
-178.5,-0.5,0.178306458015317,NA,NA,NA,NA
-178.5,0.5,0.181728168915908,NA,NA,NA,NA
-178.5,1.5,0.164253719128926,NA,NA,NA,NA
-178.5,2.5,0.143505238650291,NA,NA,NA,NA
-178.5,3.5,0.126713948310237,NA,NA,NA,NA
-178.5,4.5,0.112322853489425,NA,NA,NA,NA
-178.5,5.5,0.100221757135695,NA,NA,NA,NA
-178.5,6.5,0.0862029144626451,NA,NA,NA,NA
-178.5,7.5,0.072948783514262,NA,NA,NA,NA
-178.5,8.5,0.0615076499855572,NA,NA,NA,NA
-178.5,9.5,0.0528866747502015,NA,NA,NA,NA
-178.5,10.5,0.0453592250352192,NA,NA,NA,NA
-178.5,11.5,0.0415262783293814,NA,NA,NA,NA
-178.5,12.5,0.0380817292264158,NA,NA,NA,NA
